"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","IDACI","num_pupils","bad_out_chance","good_out_chance","URN","Schoolname","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","daysbetween"
"181",9372023,"Primary",424059,298039,"1","E07000218","E01031031",937,"3",160,0.230999259512417,0.769000740487583,140418,"Wood End Primary School","Academy Sponsor Led","West Midlands","Warwickshire",2019-04-10,2,2017-02-15,4,784
"182",9372025,"Primary",435269,291706,"1","E07000219","E01031047",937,"4",336,0.272443038716101,0.727556961283899,140419,"Queen's Church of England Academy","Academy Sponsor Led","West Midlands","Warwickshire",2016-12-07,2,2013-01-15,4,1422
"183",9375200,"Primary",412004,257843,"1","E07000221","E01031187",937,"2",58,0.28881746031746,0.71118253968254,140530,"Tudor Grange Primary Academy, Haselor","Academy Converter","West Midlands","Warwickshire",2013-11-28,2,2012-01-09,3,689
"184",9372026,"Primary",439157,286976,"1","E07000219","E01031067",937,"2",211,0.165538220551378,0.834461779448622,140694,"St James' CofE Academy","Academy Sponsor Led","West Midlands","Warwickshire",2017-02-06,2,2013-05-21,4,1357
"185",9373592,"Primary",437677,292926,"1","E07000219","E01031104",937,"1",419,0.189902887034542,0.810097112965458,140878,"St Nicolas CofE Academy","Academy Converter","West Midlands","Warwickshire",2011-06-07,2,2008-06-11,1,1091
"186",9372027,"Primary",407243,263353,"1","E07000221","E01031239",937,"2",223,0.179573934837093,0.820426065162907,141000,"Studley St Mary's CofE Academy","Academy Sponsor Led","West Midlands","Warwickshire",2019-10-08,3,2017-06-21,3,839
"187",9372033,"Primary",425926,265026,"1","E07000222","E01031268",937,"1",213,0.182029871161526,0.817970128838474,141244,"Budbrooke Primary School","Academy Sponsor Led","West Midlands","Warwickshire",2017-10-10,2,2014-02-26,4,1322
"188",9372639,"Primary",428868,232563,"1","E07000221","E01031209",937,"1",90,0.221530327113613,0.778469672886387,141280,"Acorns Primary School","Academy Converter","West Midlands","Warwickshire",2010-10-05,2,2008-12-02,3,672
"189",9375206,"Primary",425634,240959,"1","E07000221","E01031215",937,"2",390,0.157673141186299,0.842326858813701,141281,"Shipston-on-Stour Primary School","Academy Converter","West Midlands","Warwickshire",2013-05-01,2,2010-07-05,1,1031
"190",9372035,"Primary",433911,293122,"1","E07000219","E01031073",937,"5",224,0.367882855914771,0.632117144085229,141747,"St Anne's Catholic Academy","Academy Sponsor Led","West Midlands","Warwickshire",2018-02-16,3,2014-03-19,3,1430
"191",9373501,"Primary",431723,297178,"1","E07000218","E01031014",937,"3",179,0.248888148401306,0.751111851598694,141812,"St Benedict's Catholic Primary Academy","Academy Converter","West Midlands","Warwickshire",2012-12-13,2,2008-01-09,2,1800
"192",9373502,"Primary",436094,287343,"1","E07000219","E01031064",937,"4",207,0.278931133954197,0.721068866045803,141817,"St Francis Catholic  Academy","Academy Converter","West Midlands","Warwickshire",2013-01-09,2,2011-01-27,3,713
