"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","prev_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"31",9372415,"Primary",451919,274825,"0","E07000220","E01031157",937,"2","2",237,"Y",NA,0.0802314561736676,0.919768543826332
"32",9372417,"Primary",450717,275648,"0","E07000220","E01031174",937,"2","3",238,"Y",NA,0.124427858250761,0.87557214174924
"33",9372420,"Primary",448346,273574,"0","E07000220","E01031136",937,"2","2",168,"Y",NA,0.0907356613313372,0.909264338668663
"34",9372421,"Primary",452601,274512,"0","E07000220","E01031158",937,"1","2",264,"Y",NA,0.0856069230434217,0.914393076956578
"35",9372423,"Primary",449094,273123,"0","E07000220","E01031178",937,"2","2",151,"Y",NA,0.0880498327871794,0.911950167212821
"36",9372569,"Primary",419691,289887,"0","E07000218","E01031019",937,"1","2",118,"Y",NA,0.089105322371902,0.910894677628098
"37",9372571,"Primary",434880,285740,"0","E07000219","E01031079",937,"3","3",177,"N",NA,0.0605496767800078,0.939450323219992
"38",9372581,"Primary",438012,289320,"0","E07000219","E01031056",937,"3","2",352,"N",NA,0.0561730022993177,0.943826997700682
"39",9372585,"Primary",434784,290761,"0","E07000219","E01031048",937,"2","4",268,"Y",NA,0.135896678439472,0.864103321560528
"40",9372590,"Primary",451473,277144,"0","E07000220","E01031137",937,"2","3",464,"Y",NA,0.116985312106779,0.883014687893221
"41",9372598,"Primary",451473,277144,"0","E07000220","E01031137",937,"2","3",259,"Y",NA,0.122548906221258,0.877451093778742
"42",9372601,"Primary",434567,291380,"0","E07000219","E01031060",937,"2","4",309,"Y",NA,0.138745747030073,0.861254252969928
"43",9372603,"Primary",418397,255694,"0","E07000221","E01031238",937,"2","2",230,"Y",NA,0.0812278276912986,0.918772172308701
"44",9372605,"Primary",427691,273074,"0","E07000222","E01031254",937,"2","1",211,"Y",NA,0.0630017913085647,0.936998208691435
"45",9372606,"Primary",431291,266526,"0","E07000222","E01031294",937,"2","1",323,"Y",NA,0.066420043095301,0.933579956904699
"46",9372614,"Primary",435724,287416,"0","E07000219","E01031105",937,"2","4",162,"Y",NA,0.19293958669646,0.80706041330354
"47",9372616,"Primary",451815,277645,"0","E07000220","E01031139",937,"2","2",214,"Y",NA,0.0816616671706912,0.918338332829309
"48",9372618,"Primary",417616,290682,"0","E07000218","E01031041",937,"2","2",321,"Y",NA,0.0897308258185377,0.910269174181462
"49",9373002,"Primary",422216,255326,"0","E07000221","E01031227",937,"2","1",204,"Y",NA,0.0633005745774848,0.936699425422515
"50",9373011,"Primary",409669,252098,"0","E07000221","E01031192",937,"2","2",316,"Y",NA,0.0890252936056526,0.910974706394347
"51",9373014,"Primary",430940,239367,"0","E07000221","E01031193",937,"2","1",78,"Y",NA,0.0728463645416256,0.927153635458374
"52",9373024,"Primary",426995,248974,"0","E07000221","E01031196",937,"2","1",211,"Y",NA,0.0630017913085647,0.936998208691435
"53",9373031,"Primary",425640,257065,"0","E07000221","E01031218",937,"2","1",83,"Y",NA,0.0783129264828954,0.921687073517105
"54",9373032,"Primary",437084,259911,"0","E07000221","E01031201",937,"2","1",203,"Y",NA,0.0633005745774848,0.936699425422515
"55",9373035,"Primary",420958,243677,"0","E07000221","E01031246",937,"1","1",117,"Y",NA,0.0850673768478806,0.914932623152119
"56",9373040,"Primary",425615,252653,"0","E07000221","E01031196",937,"2","2",36,"Y",NA,0.125012015040198,0.874987984959802
"57",9373041,"Primary",408564,266723,"0","E07000221","E01031213",937,"2","2",118,"Y",NA,0.0844219670736893,0.915578032926311
"58",9373057,"Primary",418674,254622,"0","E07000221","E01031233",937,"2","2",90,"Y",NA,0.0887056463589957,0.911294353641004
"59",9373068,"Primary",434052,244415,"0","E07000221","E01031247",937,"2","1",122,"Y",NA,0.0688767781289963,0.931123221871003
"60",9373073,"Primary",428239,255486,"0","E07000221","E01031253",937,"2","1",391,"Y",NA,0.0680339154197076,0.931966084580292
"61",9373074,"Primary",414915,263222,"0","E07000221","E01031204",937,"2","1",108,"Y",NA,0.0691020866628044,0.930897913337195
"62",9373101,"Primary",436307,290247,"0","E07000219","E01031116",937,"2","5",244,"Y",NA,0.153758239801084,0.846241760198916
"63",9373103,"Primary",435670,292417,"0","E07000219","E01031044",937,"1","4",210,"Y",NA,0.0982114419601028,0.901788558039898
"64",9373106,"Primary",433260,291306,"0","E07000219","E01031091",937,"2","3",447,"Y",NA,0.123092442148493,0.876907557851508
"65",9373141,"Primary",431027,261081,"0","E07000222","E01031260",937,"2","1",209,"Y",NA,0.0633005745774848,0.936699425422515
"66",9373144,"Primary",434496,268280,"0","E07000222","E01031279",937,"2","1",199,"Y",NA,0.0638158949117466,0.936184105088253
"67",9373146,"Primary",429019,272174,"0","E07000222","E01031257",937,"2","1",407,"Y",NA,0.06332652792404,0.93667347207596
"68",9373147,"Primary",418859,271243,"0","E07000222","E01031282",937,"2","1",175,"Y",NA,0.0669083925389088,0.933091607461091
"69",9373152,"Primary",434241,264472,"0","E07000222","E01031302",937,"2","2",211,"Y",NA,0.0816616671706912,0.918338332829309
"70",9373154,"Primary",429297,266054,"0","E07000222","E01031310",937,"2","2",230,"Y",NA,0.0812278276912986,0.918772172308701
"71",9373157,"Primary",432612,263091,"0","E07000222","E01031330",937,"2","1",358,"Y",NA,0.0701037339605591,0.929896266039441
"72",9373177,"Primary",452823,276341,"0","E07000220","E01031129",937,"1","2",221,"Y",NA,0.0665477846625441,0.933452215337456
"73",9373192,"Primary",441121,275634,"0","E07000220","E01031154",937,"2","2",208,"Y",NA,0.0816616671706912,0.918338332829309
"74",9373193,"Primary",442587,287753,"0","E07000220","E01031182",937,"3","1",176,"N",NA,0.0570535775396327,0.942946422460367
"75",9373204,"Primary",419256,254946,"0","E07000221","E01031232",937,"3","2",395,"N",NA,0.0598613837669662,0.940138616233034
"76",9373205,"Primary",448990,272910,"0","E07000220","E01031135",937,"2","2",418,"Y",NA,0.0755295862999569,0.924470413700043
